time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.017909,0.0089,-0.0173,0.0534,0.057
2.023336,0.0112,-0.0131,0.0690,0.071
2.028958,0.0039,0.0030,0.0679,0.068
2.032971,0.0181,-0.0025,0.0098,0.021
2.038496,0.0107,-0.0270,0.0069,0.030
2.043423,-0.0084,-0.0442,0.0252,0.052
2.049135,-0.0202,-0.0422,0.0197,0.051
2.053222,0.0061,-0.0354,0.0403,0.054
2.058454,0.0013,-0.0309,0.0178,0.036
2.063822,-0.0177,-0.0241,0.0119,0.032
2.069094,-0.0198,-0.0031,0.0462,0.050
2.073532,-0.0338,-0.0227,0.0539,0.068
2.078468,-0.0167,-0.0138,0.0068,0.023
2.083516,-0.0212,-0.0121,-0.0258,0.036
2.090048,-0.0090,-0.0176,-0.0487,0.053
2.094127,0.0363,-0.0253,-0.0618,0.076
2.099560,0.0622,-0.0638,-0.1317,0.159
2.103722,0.0476,-0.0640,-0.1248,0.148
2.109308,0.0211,-0.0214,-0.1107,0.115
2.113905,0.0067,-0.0289,-0.0892,0.094
2.118774,-0.0005,-0.0150,-0.0583,0.060
2.123839,0.0067,-0.0107,-0.0038,0.013
2.130682,-0.0029,-0.0111,0.0053,0.013
2.135203,0.0209,-0.0280,0.0381,0.052
2.140307,0.0255,-0.0020,0.0349,0.043
2.144168,0.0063,0.0025,0.0173,0.019
2.149615,-0.0174,-0.0120,0.0139,0.025
2.154125,0.0043,-0.0119,0.0342,0.036
2.159322,-0.0265,0.0024,0.0449,0.052
2.165264,0.0095,-0.0166,0.0530,0.056
2.169727,0.0239,-0.0021,0.0706,0.075
2.174512,0.0286,0.0124,0.0714,0.078
2.179430,0.0452,0.0243,0.0485,0.071
2.184437,0.0521,0.0289,0.0187,0.062
2.190331,0.0090,0.0763,0.0818,0.112
2.194630,0.0590,0.0355,0.0473,0.084
2.199475,0.0704,0.0544,0.0370,0.096
2.205127,0.0390,0.0184,0.0222,0.049
2.210266,0.0292,0.0374,-0.0137,0.049
2.215710,0.0171,0.0301,-0.0444,0.056
2.221362,0.0003,0.0109,-0.0581,0.059
2.225036,-0.0068,0.0085,-0.0809,0.082
2.230175,-0.0282,0.0299,-0.0797,0.090
2.234767,-0.0138,0.0059,-0.0429,0.045
2.240150,-0.0352,0.0130,-0.0777,0.086
2.245094,-0.0325,0.0201,-0.0506,0.063
2.250535,-0.0489,-0.0061,-0.0190,0.053
2.255206,-0.0390,0.0343,-0.0045,0.052
2.260395,-0.0007,-0.0017,-0.0377,0.038
2.269148,0.0016,0.0006,-0.0041,0.004
2.270503,0.0064,0.0194,0.0290,0.036
2.275238,0.0134,0.0237,0.0193,0.033
2.280500,-0.0058,-0.0029,0.0335,0.034
2.285140,0.0061,0.0088,0.0143,0.018
2.290985,0.0250,0.0086,0.0048,0.027
2.295456,0.0129,-0.0037,0.0595,0.061
2.300641,-0.0087,-0.0134,0.0614,0.063
2.305411,-0.0229,-0.0041,0.0467,0.052
2.311175,-0.0038,0.0385,0.0773,0.086
2.317977,-0.0133,-0.0024,0.1291,0.130
2.321032,-0.0085,-0.0050,0.0806,0.081
2.325960,0.0105,0.0019,0.1060,0.107
2.332734,-0.0133,-0.0006,0.1289,0.130
2.336215,0.0129,0.0087,0.1135,0.115
2.340826,0.0033,0.0157,0.0696,0.071
2.345755,-0.0133,0.0131,0.0854,0.087
2.350935,-0.0132,0.0271,0.0679,0.074
2.356030,-0.0060,0.0339,0.0601,0.069
2.361094,0.0178,0.0168,0.0617,0.066
2.366868,-0.0251,0.0166,0.0468,0.056
2.371755,0.0132,-0.0025,0.0438,0.046
2.377370,0.0369,-0.0000,0.0196,0.042
2.381463,0.0271,0.0214,0.0026,0.035
2.387357,0.0103,0.0119,-0.0046,0.016
2.391925,0.0102,0.0404,-0.0141,0.044
2.396975,0.0173,0.0331,0.0098,0.039
2.402840,0.0124,0.0425,-0.0020,0.044
2.406734,-0.0210,0.0446,-0.0019,0.049
2.412352,0.0030,0.0395,-0.0114,0.041
2.417391,0.0385,0.0392,-0.0325,0.064
2.421465,0.0192,0.0223,-0.0156,0.033
2.426944,0.0096,0.0388,0.0036,0.040
2.432234,0.0332,0.0241,-0.0297,0.051
2.437038,0.0068,0.0357,0.0321,0.049
2.442512,-0.0146,0.0307,0.0316,0.046
2.447162,-0.0263,0.0208,0.0335,0.047
2.452560,0.0143,0.0206,0.0022,0.025
2.456872,-0.0048,0.0275,0.0068,0.029
2.462093,-0.0261,0.0294,0.0327,0.051
2.467272,-0.0164,0.0314,0.0440,0.057
2.472626,-0.0068,0.0238,0.0458,0.052
2.477342,-0.0043,0.0187,0.0428,0.047
2.482024,-0.0019,0.0445,-0.0004,0.045
2.487646,-0.0114,0.0202,0.0232,0.033
2.493136,0.0053,0.0033,0.0228,0.024
2.497584,-0.0090,0.0078,0.0485,0.050
2.502238,-0.0208,-0.0233,0.0765,0.083
2.507457,-0.0040,-0.0090,0.0162,0.019
2.512882,-0.0111,-0.0044,0.0159,0.020
2.517766,0.0010,0.0027,0.0106,0.011
2.524628,0.0081,-0.0188,0.0366,0.042
2.527751,-0.0062,0.0051,0.0053,0.010
2.534122,-0.0014,-0.0139,-0.0211,0.025
2.537632,-0.0180,-0.0353,-0.0471,0.062
2.543191,-0.0226,-0.0161,-0.0374,0.047
2.548007,-0.0249,0.0005,0.0200,0.032
2.553275,-0.0057,-0.0235,-0.0040,0.025
2.559971,-0.0009,-0.0235,0.0172,0.029
2.562811,0.0253,-0.0496,0.0169,0.058
2.570800,0.0655,-0.0375,0.0614,0.097
2.574122,0.0341,-0.0468,0.0484,0.075
2.578058,0.0648,-0.0251,0.0283,0.075
2.584070,0.0359,-0.0272,0.0487,0.066
2.587961,0.0001,-0.0078,0.0073,0.011
2.593707,-0.0141,0.0185,-0.0290,0.037
2.598220,-0.0186,0.0279,-0.0671,0.075
2.603027,-0.0185,0.0110,-0.0595,0.063
2.608893,-0.0279,-0.0012,-0.1040,0.108
2.613668,-0.0302,-0.0182,-0.0813,0.089
2.618719,-0.0277,-0.0516,-0.0395,0.071
2.623371,-0.0253,-0.0564,-0.0171,0.064
2.628726,0.0056,-0.0705,0.0670,0.097
2.634199,-0.0112,-0.0654,0.0837,0.107
2.638458,-0.0112,-0.0744,0.1333,0.153
2.644036,0.0079,-0.0500,0.1490,0.157
2.648626,0.0127,-0.0233,0.0930,0.097
2.653946,0.0578,-0.0108,0.0349,0.068
2.658889,0.0337,-0.0031,0.0080,0.035
2.664171,0.0454,0.0116,-0.0447,0.065
2.669043,0.0404,-0.0046,-0.1205,0.127
2.674680,0.0354,0.0124,-0.1052,0.112
2.678890,0.0351,0.0340,-0.0659,0.082
2.687008,0.0039,0.0435,-0.0268,0.051
2.689034,-0.0010,0.0549,-0.0236,0.060
2.694370,0.0012,0.0163,-0.0108,0.020
2.699111,0.0011,-0.0078,0.0090,0.012
2.704144,-0.0038,0.0112,0.0260,0.029
2.709081,-0.0038,0.0370,0.0047,0.037
2.715043,0.0080,0.0103,0.0118,0.018
